delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,1000,exp,0,0,0,space,6.02991399995517,None,45,1,[8.938257900008466],[8.93826830002945],0,0,0,7,0.09235819999594241,,0.04120750003494322,0.09235819999594241,1.0069171999930404,1.0069171999930404,1.1063143000355922,7.141787700005807,space,6.02991399995517,None,7.142525600036606,7.556742666700544,7.888597700046375,7.858918200014159,7.859742000000551,7.888597700046375,7.888597700046375,7.888597700046375,16.827594500035048,45,1,[8.938257900008466],[8.93826830002945],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,1000,exp,1,1,0,space,0.9188062999746762,None,45,1,[1.887185400002636],[1.8871934000053443],0,1,1,3,16.83995130000403,,16.82786900002975,16.83995130000403,17.840136000013445,17.840136000013445,17.840136000013445,18.760371900047176,space,0.9188062999746762,None,18.761101000010967,18.87292226666274,19.20594820001861,19.176502800022718,19.176911999995355,19.20594820001861,19.20594820001861,19.20594820001861,21.09394130000146,45,1,[1.887185400002636],[1.8871934000053443],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.4,1000,exp,2,2,0,space,0.5410056000109762,None,56,1,[2.387181599973701],[2.3871893999748863],0,2,2,10,21.106449400016572,,21.09431970003061,21.106449400016572,22.10636090004118,22.10636090004118,22.10636090004118,22.660724800021853,space,0.5410056000109762,None,22.661408100044355,23.07307766669352,23.405663800018374,23.379339900042396,23.38003070000559,23.405663800018374,23.405663800018374,23.405663800018374,25.79354060004698,56,1,[2.387181599973701],[2.3871893999748863],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,1000,exp,3,3,0,space,0.3892605999717489,None,600,1,[1.8714447999955155],[1.8714559000218287],0,3,3,11,25.80640530004166,,25.79385459999321,25.80640530004166,26.805908900045324,26.805908900045324,26.805908900045324,27.210876299999654,space,0.3892605999717489,None,27.211732299998403,27.92323936667914,28.238457800005563,28.2223745000083,28.22277660004329,28.238457800005563,28.238457800005563,28.238457800005563,30.110627299989574,600,1,[1.8714447999955155],[1.8714559000218287],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,1000,exp,4,4,0,space,0.43619009997928515,None,500,1,[2.635493799985852],[2.6355015999870375],0,4,4,9,30.122947500029113,,30.110899100021925,30.122947500029113,31.12308710004436,31.12308710004436,31.12308710004436,31.561105100030545,space,0.43619009997928515,None,31.561778900038917,31.672730766706323,32.006299900007434,31.9771700000274,31.977626900014002,32.006299900007434,32.006299900007434,32.006299900007434,34.642454500019085,500,1,[2.635493799985852],[2.6355015999870375],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.4,400,unexp,5,5,0,space,0.4363811999792233,None,500,1,[1.9714157999842428],[1.9714232999831438],0,5,5,1,34.6556953000254,,34.64270010002656,34.6556953000254,35.655508399999235,35.655508399999235,35.655508399999235,36.10935610003071,space,0.4363811999792233,None,36.1100283000269,36.52260186669106,36.837586700043175,36.81973789999029,36.820243299996946,36.837586700043175,36.837586700043175,36.837586700043175,38.80987620004453,500,1,[1.9714157999842428],[1.9714232999831438],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,400,unexp,6,6,0,space,0.839547700015828,None,500,1,[2.5034702999982983],[2.503478200000245],0,6,6,2,38.821717000042554,,38.81021230004262,38.821717000042554,39.821929300029296,39.821929300029296,39.821929300029296,40.676366100029554,space,0.839547700015828,None,40.67715160001535,41.38936596666851,41.72189640003489,41.69453100004466,41.69494320004014,41.72189640003489,41.72189640003489,41.72189640003489,44.22612960002152,500,1,[2.5034702999982983],[2.503478200000245],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,400,unexp,7,7,0,space,0.6573665000032634,None,500,1,[1.9539844999671914],[1.9539937999797985],0,7,7,0,44.23828470002627,,44.226383200031705,44.23828470002627,45.23890550003853,45.23890550003853,45.23890550003853,45.90942580002593,space,0.6573665000032634,None,45.91007179999724,46.02177936665636,46.35500010004034,46.32405920000747,46.32448559999466,46.35500010004034,46.35500010004034,46.35500010004034,48.3097473999951,500,1,[1.9539844999671914],[1.9539937999797985],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.4,1000,exp,8,8,0,space,0.7622867000172846,None,560,1,[1.97157920000609],[1.971586900006514],0,8,8,4,48.32220340002095,,48.31005670002196,48.32220340002095,49.3223743000417,49.3223743000417,49.3223743000417,50.092574600013904,space,0.7622867000172846,None,50.0934178000316,50.50536536670212,50.820987300015986,50.80454510002164,50.80498070002068,50.820987300015986,50.820987300015986,50.820987300015986,52.79321830003755,560,1,[1.97157920000609],[1.971586900006514],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,1000,exp,9,9,0,space,0.738159500004258,None,600,1,[1.9377344999811612],[1.93774459999986],0,9,9,6,52.805100099998526,,52.79346160002751,52.805100099998526,53.8048861999996,53.8048861999996,53.8048861999996,54.55903579998994,space,0.738159500004258,None,54.559739299991634,54.67227386666151,55.00558430003002,54.9751571000088,54.97566970001208,55.00558430003002,55.00558430003002,55.00558430003002,56.94407830003183,600,1,[1.9377344999811612],[1.93774459999986],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,1000,exp,10,10,0,space,1.0703792999847792,None,56,1,[3.0047098000068218],[3.0047213999787346],0,10,10,8,56.95473530003801,,56.944377800042275,56.95473530003801,57.95549970003776,57.95549970003776,57.95549970003776,59.04236190003576,space,1.0703792999847792,None,59.04299370001536,59.75505896669735,60.07077180000488,60.05571450002026,60.05622130003758,60.07077180000488,60.07077180000488,60.07077180000488,63.07621570001356,56,1,[3.0047098000068218],[3.0047213999787346],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,1000,exp,11,11,0,space,0.5982005000114441,None,600,1,[2.1063807999598794],[2.106388699961826],0,11,11,5,63.088497399992775,,63.07652560004499,63.088497399992775,64.08944589999737,64.08944589999737,64.08944589999737,64.69256699999096,space,0.5982005000114441,None,64.69326150004053,65.4050543666856,65.72050950000994,65.70601920003537,65.70653570001014,65.72050950000994,65.72050950000994,65.72050950000994,67.8276421999908,600,1,[2.1063807999598794],[2.106388699961826],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
