trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03784440000003997,,0.026344600000015816,0.03784440000003997,1.037900900000011,1.0528626000000259,3.5637718000000405,0,up,1,2.42469890000001,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
1,0,1,0,3.5812409000000116,,3.5655513000000383,3.5812409000000116,4.564021100000048,4.580637200000012,5.10026380000005,0,up,1,0.5332640999999967,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
2,0,2,0,5.113204900000028,,5.101705700000025,5.113204900000028,6.111422000000005,6.12816220000002,6.598229900000035,-5,down,1,0.48050230000001193,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
3,0,3,0,6.610690599999998,,6.599653900000021,6.610690599999998,7.609138600000051,7.625762199999997,8.134568600000023,-5,down,1,0.5189715999999862,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
4,0,4,0,8.157199000000048,,8.138613700000008,8.157199000000048,9.140395500000011,9.15765060000001,9.642713000000015,0,down,0,0.4981599999999844,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
5,0,5,0,9.655888900000036,,9.644118800000001,9.655888900000036,10.654280000000028,10.670909300000005,11.473176899999999,-4,down,1,0.807126500000038,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
6,0,6,0,11.486164099999996,,11.474647600000026,11.486164099999996,12.48471360000002,12.501180300000044,12.926808800000003,0,up,1,0.42682409999997617,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
7,0,7,0,12.949910799999998,,12.930521200000044,12.949910799999998,13.932410800000014,13.948873700000036,14.523527200000046,-5,down,1,0.5870391999999924,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
8,0,8,0,14.54687240000004,,14.527018700000042,14.54687240000004,15.530576600000018,15.547316899999998,15.98797920000004,0,up,1,0.4543092000000115,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
9,0,9,0,16.01165420000001,,15.991307900000038,16.01165420000001,16.993955500000027,17.02726800000005,17.44944750000002,3,down,1,0.44182080000001633,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
10,0,10,0,17.460315900000012,,17.451866600000017,17.460315900000012,18.4588531,18.475549900000033,18.913818500000048,0,up,1,0.4483699999999544,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
11,0,11,0,18.924676599999998,,18.91619030000004,18.924676599999998,19.922752400000036,19.939468500000032,20.3419169,1,down,1,0.40407260000000633,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
12,0,12,0,20.355391800000007,,20.34340880000002,20.355391800000007,21.35394500000001,21.370437600000002,21.943507600000032,-3,down,1,0.5735217999999804,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
13,0,13,0,21.968629100000044,,21.94657090000004,21.968629100000044,22.95122170000002,22.967992600000002,23.45941300000004,-3,down,1,0.49578010000004724,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
14,0,14,0,23.48316140000003,,23.4632565,23.48316140000003,24.4669351,24.48363260000002,24.841843700000027,0,up,1,0.36507879999999204,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
15,0,15,0,24.863920500000006,,24.845569000000012,24.863920500000006,25.846722100000022,25.86334420000003,26.349356200000045,0,down,0,0.4890958000000296,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
16,0,16,0,26.363979900000004,,26.35306360000004,26.363979900000004,27.362265500000035,27.377816600000017,27.9631162,0,up,1,0.5861443000000008,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
17,0,17,0,27.976306899999997,,27.964610600000015,27.976306899999997,28.97496620000004,28.991599000000008,29.46064660000002,0,up,1,0.4754131999999913,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
18,0,18,0,29.473954400000025,,29.46205660000004,29.473954400000025,30.47292440000001,30.47292440000001,30.91152150000005,2,up,0,0.43121020000000954,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
19,0,19,0,30.922089000000028,,30.91413970000002,30.922089000000028,31.92062770000001,31.93723030000001,32.37539450000003,1,down,1,0.4456720999999675,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
20,0,20,0,32.38698720000002,,32.3779457,32.38698720000002,33.3851689,33.40140390000005,33.920544500000005,0,up,1,0.5341675999999893,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
21,0,21,0,33.93376790000002,,33.92199530000005,33.93376790000002,34.932051700000045,34.9485358,35.301536999999996,-4,down,1,0.3672821999999769,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
22,0,22,0,35.314584600000046,,35.30308480000002,35.314584600000046,36.31421370000004,36.33143230000002,36.76818700000001,-3,down,1,0.4451099999999997,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
23,0,23,0,36.77949530000001,,36.7707413,36.77949530000001,37.777890900000045,37.79452500000002,38.21352310000003,0,down,0,0.42473979999999756,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
24,0,24,0,38.2266525,,38.214925900000026,38.2266525,39.22641390000001,39.22641390000001,39.811115900000004,0,up,1,0.5816585999999688,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
25,0,25,0,39.825687000000016,,39.81256940000003,39.825687000000016,40.82279620000003,40.839273700000035,41.32565530000005,4,down,1,0.5003094999999576,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
26,0,26,0,41.33854280000003,,41.32713110000003,41.33854280000003,42.337661500000024,42.337661500000024,42.93957510000001,0,down,0,0.5959581999999841,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
27,0,27,0,42.95257140000001,,42.94105960000002,42.95257140000001,43.9516117,43.96802930000001,44.55857430000003,-4,up,0,0.5905177999999864,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
28,0,28,0,44.582737699999996,,44.562444400000004,44.582737699999996,45.566065500000036,45.58246100000002,46.63374630000004,-3,down,1,1.0570732999999564,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
29,0,29,0,46.646615800000006,,46.63519310000004,46.646615800000006,47.64483240000004,47.66166560000005,48.45199100000002,2,down,1,0.7966560999999501,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
30,0,30,0,48.4760991,,48.45507380000004,48.4760991,49.45879340000005,49.47557090000004,50.08061300000003,0,down,0,0.6167715999999928,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
31,0,31,0,50.0913961,,50.083184800000026,50.0913961,51.08987360000003,51.10652379999999,51.609561299999996,-5,up,0,0.518328399999973,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
32,0,32,0,51.622009100000014,,51.61126669999999,51.622009100000014,52.620659000000046,52.637307599999986,53.294390200000066,-4,down,1,0.6602732999999716,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
33,0,33,0,53.31871650000005,,53.29765930000008,53.31871650000005,54.30158990000007,54.31813,54.953722500000026,0,down,0,0.6373394999999391,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
34,0,34,0,54.96675090000008,,54.95530500000007,54.96675090000008,55.964978299999984,55.98180930000001,56.538406500000065,0,down,0,0.5649197999999842,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
35,0,35,0,56.56340890000001,,56.54653059999998,56.56340890000001,57.54599070000006,57.56259440000008,58.136957499999994,0,down,0,0.5759108999999398,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
36,0,36,0,58.1609522,,58.14045299999998,58.1609522,59.14423199999999,59.16086419999999,59.667380500000036,-3,down,1,0.5065151000000014,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
37,0,37,0,59.691825900000026,,59.670898100000045,59.691825900000026,60.67453750000004,60.691195300000004,61.39523180000003,0,down,0,0.7076415999999881,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
38,0,38,0,61.406581800000026,,61.39765350000005,61.406581800000026,62.40619509999999,62.42232969999998,63.11239899999998,0,down,0,0.6915741999999909,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
39,0,39,0,63.13625960000002,,63.115686600000004,63.13625960000002,64.11912059999997,64.13559959999998,65.03961620000007,-4,down,1,0.9115900000000465,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
40,0,40,0,65.05082620000007,,65.04201210000008,65.05082620000007,66.04867109999998,66.06559679999998,66.87013990000003,-4,up,0,0.8106597999999394,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
41,0,41,0,66.88128080000001,,66.87271550000003,66.88128080000001,67.87965580000002,67.89643080000008,68.70070670000007,2,up,0,0.8173278000000437,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
42,0,42,0,68.71158550000007,,68.70362039999998,68.71158550000007,69.7266598,69.76024589999997,70.19649690000006,-3,down,1,0.46532990000002883,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
43,0,43,0,70.2087292,,70.19842340000002,70.2087292,71.20798030000003,71.20798030000003,71.7142404,-5,down,1,0.4943139000000656,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
44,0,44,0,71.73915710000006,,71.7172028,71.73915710000006,72.72154410000007,72.73819490000005,73.34078269999998,0,up,1,0.6136179000000084,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
