words,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instruction_key.started,Instructions.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,Fixation.started,wordtext.started,Fixation.stopped,wordtext.stopped,Recall.started,recall_key.started,recall_instructions.started,recall_textbox.started,recall_instructions.stopped,Recall.stopped,recall_textbox.text,recall_key.keys,recall_key.corr,recall_key.rt,recall_key.duration,EndScreen.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003042900003492832,0.007913700072094798,0.007913700072094798,1.8767583000008017,space,1.77760890009813,None,,,,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
constellation,long,0,0,0,7,,,,,1.8953682999126613,,,,,,,,,1.8891892998944968,2.8819097001105547,4.878876599948853,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
collaboration,long,0,1,1,11,,,,,4.8953273999504745,,,,,,,,,4.879182799952105,5.877090400084853,7.874371899990365,7.890389800071716,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
sun,short,0,2,2,8,,,,,7.890389800071716,,,,,,,,,7.8746356999035925,8.888796699931845,10.885842599906027,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
enlightenment,long,0,3,3,17,,,,,10.902247600024566,,,,,,,,,10.886152399936691,11.883935099933296,13.880859700031579,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
transformation,long,0,4,4,5,,,,,13.89733810001053,,,,,,,,,13.881124099949375,14.879327199887484,16.876628200057894,16.892668599961326,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
perseverance,long,0,5,5,1,,,,,16.892668599961326,,,,,,,,,16.87692640000023,17.89116009999998,19.887904400005937,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
flame,short,0,6,6,2,,,,,19.90438239998184,,,,,,,,,19.888171799946576,20.88607609993778,22.88310099998489,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
imagination,long,0,7,7,19,,,,,22.899686800083145,,,,,,,,,22.883347700117156,23.881640099920332,25.87838070001453,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
exploration,long,0,8,8,9,,,,,25.89466520003043,,,,,,,,,25.878717199899256,26.876577700022608,28.873961699893698,28.889887399971485,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
light,short,0,9,9,14,,,,,28.889887399971485,,,,,,,,,28.874206400010735,29.88843990000896,31.885362199973315,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
responsibility,long,0,10,10,3,,,,,31.90190889989026,,,,,,,,,31.88574540009722,32.88355299993418,34.8804299000185,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
tree,short,0,11,11,16,,,,,34.89688159991056,,,,,,,,,34.88079639989883,35.87871249997988,37.875970100052655,37.892066800035536,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
smile,short,0,12,12,4,,,,,37.892066800035536,,,,,,,,,37.87632960011251,38.89045930001885,40.88734170002863,,,,,,,,,,,,,,,03,001,2024-11-28_01h16.36.517,experiment psycho,2024.1.5,None,2024-11-28 01h16.50.308581 +0530,
