trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.09032299998216331,,0.014414799981750548,10,0.09032299998216331,0.09032299998216331,0.06325229996582493,2.143552199995611,[-0.12],[0.3616666666666667],[1],[0],[0],[2.0795325999497436],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
1,0,1,0,2.1882625999860466,,2.147494499979075,5,2.1882625999860466,2.1882625999860466,0.017258700041566044,5.505116599961184,[-0.11833333333333333],[0.4633333333333333],[1],[0],[0],[3.3405892999726348],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
2,0,2,0,5.549957299954258,,5.508177399984561,5,5.549957299954258,5.549957299954258,0.01801180001348257,6.968992699985392,[-0.19333333333333333],[0.46],[1],[0],[0],[1.4430536000290886],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
3,0,3,0,7.0304957999615,,6.972216399968602,10,7.0304957999615,7.0304957999615,0.03405799996107817,8.815355099970475,[0.23],[0.26666666666666666],[1],[0],[0],[1.8092876999871805],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
4,0,4,0,8.877434699970763,,8.818609899957664,10,8.877434699970763,8.877434699970763,0.03328839997993782,11.161516699998174,[-0.11833333333333333],[-0.31],[1],[0],[0],[2.3098805000190623],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
5,0,5,0,11.223849400004838,,11.16484419995686,10,11.223849400004838,11.223849400004838,0.034280399966519326,13.408059599983972,[-0.22],[-0.38166666666666665],[1],[0],[0],[2.2091623000451364],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
6,0,6,0,13.453457099967636,,13.411704499972984,5,13.453457099967636,13.453457099967636,0.017207800003234297,15.406303800002206,[0.2966666666666667],[-0.04833333333333333],[1],[0],[0],[1.9777064999798313],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
7,0,7,0,15.450581599958241,,15.409909899986815,5,15.450581599958241,15.450581599958241,0.01655970001593232,17.219280499964952,[0.045],[0.07333333333333333],[1],[0],[0],[1.7930074000032619],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
8,0,8,0,17.28070010000374,,17.223026099964045,10,17.28070010000374,17.28070010000374,0.03272260003723204,19.26668719999725,[0.14833333333333334],[0.49333333333333335],[1],[0],[0],[2.0111584999831393],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
9,0,9,0,19.327452300000004,,19.269793099956587,10,19.327452300000004,19.327452300000004,0.031668299983721226,22.027801699994598,[-0.018333333333333333],[0.22666666666666666],[1],[0],[0],[2.726520900032483],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
10,0,10,0,22.08952459995635,,22.031552799977362,10,22.08952459995635,22.08952459995635,0.0327197999577038,23.740834299998824,[0.17333333333333334],[0.02],[1],[0],[0],[1.676833900040947],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
11,0,11,0,23.770396199950483,,23.744027199980337,5,23.770396199950483,23.770396199950483,0.01622370001859963,25.64075329998741,[0.33166666666666667],[0.355],[1],[0],[0],[1.880720300017856],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
12,0,12,0,25.700649599952158,,25.64382239995757,10,25.700649599952158,25.700649599952158,0.03371729998616502,28.899627499980852,[0.09],[-0.4083333333333333],[1],[0],[0],[3.2223277999437414],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
13,0,13,0,28.94551229994977,,28.902789299958386,5,28.94551229994977,28.94551229994977,0.017689600004814565,32.2294552999665,[0.12166666666666667],[-0.04666666666666667],[1],[0],[0],[3.3090354000451043],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
14,0,14,0,32.273587199975736,,32.23268459999235,5,32.273587199975736,32.273587199975736,0.016840299998875707,34.40834329999052,[-0.08666666666666667],[-0.19166666666666668],[1],[0],[0],[2.159046299988404],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
15,0,15,0,34.470172000001185,,34.41140409995569,10,34.470172000001185,34.470172000001185,0.03264119999948889,36.90452429995639,[-0.49833333333333335],[0.11333333333333333],[1],[0],[0],[2.460723700001836],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
16,0,16,0,36.96599499997683,,36.90776410000399,10,36.96599499997683,36.96599499997683,0.03191499999957159,39.883851299993694,[-0.4666666666666667],[-0.4816666666666667],[1],[0],[0],[2.944477899989579],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
17,0,17,0,39.94424829998752,,39.88734249997651,10,39.94424829998752,39.94424829998752,0.03303419996518642,41.42871889995877,[-0.07833333333333334],[0.255],[1],[0],[0],[1.5086977000464685],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
18,0,18,0,41.49208339996403,,41.4317704999703,10,41.49208339996403,41.49208339996403,0.033338399953208864,43.95834249997279,[0.006666666666666667],[-0.33],[1],[0],[0],[2.493456399999559],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
19,0,19,0,43.98807500000112,,43.96157049998874,5,43.98807500000112,43.98807500000112,0.01670350000495091,49.468448299972806,[-0.315],[0.44666666666666666],[1],[0],[0],[5.490425800031517],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
20,0,20,0,49.51273969997419,,49.471615999995265,5,49.51273969997419,49.51273969997419,0.01679519994650036,52.82956459996058,[-0.07833333333333334],[0.49833333333333335],[1],[0],[0],[3.3414885999518447],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
21,0,21,0,52.87393489998067,,52.832758599950466,5,52.87393489998067,52.87393489998067,0.017117499955929816,54.643643599993084,[-0.42],[0.14],[1],[0],[0],[1.7940224999911152],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
22,0,22,0,54.70419719995698,,54.64658020000206,10,54.70419719995698,54.70419719995698,0.032484499970451,56.43957479996607,[0.48],[0.023333333333333334],[1],[0],[0],[1.7606560999993235],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
23,0,23,0,56.501194099953864,,56.44312999997055,10,56.501194099953864,56.501194099953864,0.032527899951674044,58.58551599999191,[0.31666666666666665],[0.45166666666666666],[1],[0],[0],[2.110185500001535],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
24,0,24,0,58.63114739995217,,58.5886002999614,5,58.63114739995217,58.63114739995217,0.016648499993607402,60.41681579995202,[0.115],[0.17833333333333334],[1],[0],[0],[1.8118041999987327],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
25,0,25,0,60.461710100003984,,60.41993079998065,5,60.461710100003984,60.461710100003984,0.01683100004447624,62.09798919997411,[-0.48833333333333334],[0.2833333333333333],[1],[0],[0],[1.6612507999525405],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
26,0,26,0,62.14269199996488,,62.100974300003145,5,62.14269199996488,62.14269199996488,0.016716199985239655,64.27854619995924,[-0.10333333333333333],[-0.19333333333333333],[1],[0],[0],[2.161074200004805],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
27,0,27,0,64.33948249998502,,64.2820478999638,10,64.33948249998502,64.33948249998502,0.03378179995343089,66.12526840000646,[-0.18],[0.30333333333333334],[1],[0],[0],[1.8097025000024587],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
28,0,28,0,66.16887339996174,,66.12842569994973,5,66.16887339996174,66.16887339996174,0.016930899990256876,67.62321239995072,[0.013333333333333334],[0.12333333333333334],[1],[0],[0],[1.4779997000005096],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
29,0,29,0,67.66662549995817,,67.62633929995354,5,67.66662549995817,67.66662549995817,0.017723799974191934,69.35260949999793,[0.051666666666666666],[0.016666666666666666],[1],[0],[0],[1.7087542000226676],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
30,0,30,0,69.41392389999237,,69.35576999996556,10,69.41392389999237,69.41392389999237,0.033587099984288216,70.98354200000176,[-0.16666666666666666],[0.09],[1],[0],[0],[1.5944233000045642],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
31,0,31,0,71.02789979998488,,70.98682639998151,5,71.02789979998488,71.02789979998488,0.01809500000672415,72.51535269996384,[-0.455],[-0.275],[1],[0],[0],[1.5106787999975495],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
32,0,32,0,72.55895019997843,,72.51897009997629,5,72.55895019997843,72.55895019997843,0.019007699971552938,73.96153819997562,[-0.028333333333333332],[0.14],[1],[0],[0],[1.4237101000035182],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
33,0,33,0,74.00654829997802,,73.9644967999775,5,74.00654829997802,74.00654829997802,0.017051500035449862,76.44132659997558,[-0.42],[-0.23666666666666666],[1],[0],[0],[2.4600167999742553],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
34,0,34,0,76.50260969996452,,76.44472139998106,10,76.50260969996452,76.50260969996452,0.03467249998357147,79.17049679998308,[-0.18],[-0.45666666666666667],[1],[0],[0],[2.6913215999957174],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
35,0,35,0,79.23174919997109,,79.17367749998812,10,79.23174919997109,79.23174919997109,0.0329510000301525,81.05088209995301,[-0.4633333333333333],[0.4083333333333333],[1],[0],[0],[1.8444853000110015],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
