Study_word	test_word	Reference	old_new	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	Study_Phase.started	StudyText.started	Studyslider.started	Study_Phase.stopped	Studyslider.response	Studyslider.rt	Test_Phase.started	TestText.started	test_textbox.started	submit_text.started	testmouse.started	Test_Phase.stopped	test_textbox.text	testmouse.x	testmouse.y	testmouse.leftButton	testmouse.midButton	testmouse.rightButton	testmouse.time	testmouse.clicked_name	TestText.stopped	participant	session	date	expName	psychopyVersion	frameRate	expStart
laptop				0	0	0	5					0.0706869		0.017499	0.0706869	0.0706869	1.8188876	1.055555556	1.774335																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
book				0	1	1	0					1.8479671		1.8196724	1.8479671	1.8479671	3.1419663	1.914814815	1.2925709																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
Pastry				0	2	2	9					3.1825027		3.1424146	3.1825027	3.1825027	4.3266583	2.866666667	1.1525464																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
phone				0	3	3	2					4.3647969		4.3269641	4.3647969	4.3647969	5.4519689	4.985185185	1.0920251																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
Case				0	4	4	10					5.4749603		5.452294	5.4749603	5.4749603	6.3147787	4.985185185	0.8370241																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
marble				0	5	5	3					6.3504842		6.3153384	6.3504842	6.3504842	7.8830341	2.981481481	1.529162																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
Police				0	6	6	12					7.9154994		7.8838146	7.9154994	7.9154994	9.5316515	1	1.6178154																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
Keys				0	7	7	13					9.5575708		9.5319876	9.5575708	9.5575708	11.3091959	2.037037037	1.7522126																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
Chart				0	8	8	6					11.3333594		11.3095093	11.3333594	11.3333594	12.8917526	3.003703704	1.5574354																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
T-shirt				0	9	9	7					12.9205855		12.8920611	12.9205855	12.9205855	14.6394249	2.003703704	1.7199452																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
board				0	10	10	4					14.6681792		14.6397529	14.6681792	14.6681792	16.18828	5	1.5194781																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
cushion				0	11	11	1					16.2126476		16.1885935	16.2126476	16.2126476	17.7332507	1.003703704	1.5220159																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
Cruise				0	12	12	11					17.7567261		17.7335596	17.7567261	17.7567261	19.0999312	2.014814815	1.3432491																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
mouse				0	13	13	8					19.1245437		19.1004175	19.1245437	19.1245437	20.3324154	3.025925926	1.2058661																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
Poster				0	14	14	14					20.3573202		20.3328636	20.3573202	20.3573202	22.9957449	4.981481481	2.6404173																3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	c_s_	Case	old					0	0	0	5	23.0289565								23.0105029	23.0289565	23.0289565	23.0289565	0.0182686	26.9326181	case	[0.03611111111111111]	[-0.2861111111111111]	[1]	[0]	[0]	[3.9172310999128968]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	_a_bl_	Marble	old					0	1	1	11	27.0037183								26.9397006	27.0037183	27.0037183	27.0037183	0.022029	30.4564501	marble	[0.03148148148148148]	[-0.28703703703703703]	[1]	[0]	[0]	[3.4940090999007225]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	_o_rd	Board	old					0	2	2	10	30.4898753								30.4585249	30.4898753	30.4898753	30.4898753	0.0066502	42.0201788	Board	[0.05648148148148148]	[-0.30185185185185187]	[1]	[0]	[0]	[11.554383300011978]	['submit_text']	40.492131	3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	K_y_	Keys	old					0	3	3	8	42.0519671								42.0229358	42.0519671	42.0519671	42.0519671	0.0061958	48.4324134	Keys	[0.041666666666666664]	[-0.2916666666666667]	[1]	[0]	[0]	[6.402473299996927]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	_oo_	Book	old					0	4	4	13	48.4629054								48.4341972	48.4629054	48.4629054	48.4629054	0.0062897	54.121545	Book	[0.041666666666666664]	[-0.2916666666666667]	[1]	[0]	[0]	[5.680805000010878]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	l_pt_p	Laptop	old					0	5	5	0	54.1367179								54.1222782	54.1367179	54.1367179	54.1367179	0.0026155	57.4439512	Laptop	[0.041666666666666664]	[-0.2916666666666667]	[1]	[0]	[0]	[3.3180375997908413]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	P_s_r_	Pastry	old					0	6	6	4	57.4761324								57.4459619	57.4761324	57.4761324	57.4761324	0.0069001	61.6802281	Pastry	[0.041666666666666664]	[-0.2916666666666667]	[1]	[0]	[0]	[4.226581200025976]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	P_li_e	Police	old					0	7	7	7	61.7105098								61.6821335	61.7105098	61.7105098	61.7105098	0.0067817	66.5714979	Police	[0.041666666666666664]	[-0.2916666666666667]	[1]	[0]	[0]	[4.881828600075096]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	_ou_se	mouse	old					0	8	8	3	66.6016853								66.5737268	66.6016853	66.6016853	66.6016853	0.0076631	71.5175872	Mouse	[0.041666666666666664]	[-0.2916666666666667]	[1]	[0]	[0]	[4.935010799905285]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	c_m_ra	Camera	new					0	9	9	19	71.5689849								71.5208201	71.5689849	71.5689849	71.5689849	0.012662	74.9055768	Camera	[0.041666666666666664]	[-0.2916666666666667]	[1]	[0]	[0]	[3.371034699957818]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
	_ha_t	Chart	old					0	10	10	1	74.9379265								74.9079901	74.9379265	74.9379265	74.9379265	0.0069708	79.9250077	Chart	[0.041666666666666664]	[-0.2916666666666667]	[1]	[0]	[0]	[5.009172199992463]	['submit_text']		3	1	2024-11-07_14h58.08.999	Word Priming	2024.1.5	None	2024-11-07 14h58.33.068826 +0530
