Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Cruise,,,,0,0,0,11,,,,,0.07801860012114048,,0.02045380021445453,0.07801860012114048,0.07801860012114048,1.7639659000560641,1.0851851851851853,1.7096388000063598,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
laptop,,,,0,1,1,5,,,,,1.7878103000111878,,1.7644034000113606,1.7878103000111878,1.7878103000111878,2.530408800113946,1.0185185185185186,0.7430511999409646,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
T-shirt,,,,0,2,2,7,,,,,2.553996700095013,,2.5307051001582295,2.553996700095013,2.553996700095013,4.430729400133714,2.011111111111111,1.8774364998098463,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
book,,,,0,3,3,0,,,,,4.452280500205234,,4.431039000162855,4.452280500205234,4.452280500205234,5.975631000008434,2.962962962962963,1.5214976998977363,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
mouse,,,,0,4,4,8,,,,,5.996109600178897,,5.975927400169894,5.996109600178897,5.996109600178897,7.275404400192201,4.97037037037037,1.2766562001779675,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
Keys,,,,0,5,5,13,,,,,7.30033090012148,,7.275933200027794,7.30033090012148,7.30033090012148,8.420617900090292,3.9703703703703703,1.1140795999672264,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
Pastry,,,,0,6,6,9,,,,,8.443923600018024,,8.42101570009254,8.443923600018024,8.443923600018024,10.033746300032362,3.0074074074074075,1.5905748999211937,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
phone,,,,0,7,7,2,,,,,10.056071000173688,,10.034093800000846,10.056071000173688,10.056071000173688,11.352114000124857,1.011111111111111,1.2966736999806017,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
Chart,,,,0,8,8,6,,,,,11.372600700007752,,11.352408500155434,11.372600700007752,11.372600700007752,12.499406500020996,2.0481481481481483,1.1260805998463184,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
Case,,,,0,9,9,10,,,,,12.522625000216067,,12.499765100190416,12.522625000216067,12.522625000216067,13.897379500092939,4.981481481481481,1.3767045999411494,,,,,,,,,,,,,,,0003,001,2024-11-07_15h05.33.328,Word Priming,2024.1.5,None,2024-11-07 15h05.48.411534 +0530,
