Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,,,,0,0,0,0,,,,,0.060348200146108866,,0.015170000027865171,0.060348200146108866,0.060348200146108866,2.7748225000686944,4.237037037037037,2.7352974000386894,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
Police,,,,0,1,1,12,,,,,2.7988065001554787,,2.77529550017789,2.7988065001554787,2.7988065001554787,3.542653900105506,2.051851851851852,0.7420206998940557,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
board,,,,0,2,2,4,,,,,3.5662621001247317,,3.543062400072813,3.5662621001247317,3.5662621001247317,4.219945300137624,2.3555555555555556,0.6524815000593662,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
phone,,,,0,3,3,2,,,,,4.242720500100404,,4.220240500057116,4.242720500100404,4.242720500100404,4.800687700044364,2.4814814814814814,0.5569707998074591,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
Keys,,,,0,4,4,13,,,,,4.8232403001748025,,4.800981900189072,4.8232403001748025,4.8232403001748025,5.317212600028142,2.4814814814814814,0.4915823999326676,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
Cruise,,,,0,5,5,11,,,,,5.339723899960518,,5.3175578999798745,5.339723899960518,5.339723899960518,5.810822300147265,2.4814814814814814,0.4687869001645595,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
laptop,,,,0,6,6,5,,,,,5.831943799974397,,5.811205700039864,5.831943799974397,5.831943799974397,5.992950200103223,2.4814814814814814,0.1567702000029385,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
Pastry,,,,0,7,7,9,,,,,6.0135592999868095,,5.993281800067052,6.0135592999868095,6.0135592999868095,6.406791400164366,2.4814814814814814,0.3929462998639792,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
Chart,,,,0,8,8,6,,,,,6.4282943001016974,,6.407110000029206,6.4282943001016974,6.4282943001016974,7.516669300151989,3.1,1.0878348001278937,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
T-shirt,,,,0,9,9,7,,,,,7.539884499972686,,7.517007400048897,7.539884499972686,7.539884499972686,8.012284700060263,3.1,0.4698342999909073,,,,,,,,,,,,,,,,0004,001,2024-11-07_15h07.53.328,Word Priming,2024.1.5,None,2024-11-07 15h08.09.718940 +0530,
