trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07080689998110756,,0.02921750000678003,5,0.07080689998110756,0.07080689998110756,0.05344550003064796,2.2308087999699637,[-0.47],[-0.4683333333333333],[1],[0],[0],[2.176460799993947],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
1,0,1,0,2.2680755999754183,,2.2362040000152774,5,2.2680755999754183,2.2680755999754183,0.017306199995800853,4.519969800021499,[0.135],[0.0016666666666666668],[1],[0],[0],[2.2666526999673806],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
2,0,2,0,4.580912699981127,,4.523141700017732,10,4.580912699981127,4.580912699981127,0.03608709998661652,6.199353699979838,[-0.27666666666666667],[0.18333333333333332],[1],[0],[0],[1.6403567000525072],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
3,0,3,0,6.24567879998358,,6.203519899980165,5,6.24567879998358,6.24567879998358,0.017935899959411472,7.881846799980849,[0.09666666666666666],[0.5],[1],[0],[0],[1.6607801000354812],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
4,0,4,0,7.925525899976492,,7.884963800024707,5,7.925525899976492,7.925525899976492,0.017589199997019023,9.661796599975787,[0.04666666666666667],[-0.18],[1],[0],[0],[1.759395900007803],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
5,0,5,0,9.722648700000718,,9.664958200010005,10,9.722648700000718,9.722648700000718,0.03426370001398027,11.257160499983002,[-0.31333333333333335],[-0.058333333333333334],[1],[0],[0],[1.5581952999928035],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
6,0,6,0,11.320200600021053,,11.260268400015775,10,11.320200600021053,11.320200600021053,0.032820999971590936,12.875099700002465,[0.4666666666666667],[-0.065],[1],[0],[0],[1.5820729999686591],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
7,0,7,0,12.967336200003047,,12.883168599975761,10,12.967336200003047,12.967336200003047,0.060602999990805984,15.300763099978212,[0.375],[-0.23666666666666666],[1],[0],[0],[2.3584598999586888],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
8,0,8,0,15.363582500023767,,15.304296299989801,10,15.363582500023767,15.363582500023767,0.032864400011021644,17.197806800017133,[-0.22333333333333333],[0.3016666666666667],[1],[0],[0],[1.8609929000376724],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
9,0,9,0,17.260596900014207,,17.201323900022544,10,17.260596900014207,17.260596900014207,0.03352269995957613,20.261060999997426,[0.37166666666666665],[0.2966666666666667],[1],[0],[0],[3.026475099963136],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
10,0,10,0,20.32239769998705,,20.264452899980824,10,20.32239769998705,20.32239769998705,0.033526299986988306,22.476289800019003,[0.47833333333333333],[0.12166666666666667],[1],[0],[0],[2.17842249997193],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
11,0,11,0,22.518624100019224,,22.483624599990435,5,22.518624100019224,22.518624100019224,0.02621989999897778,24.205211699998472,[0.405],[0.06],[1],[0],[0],[1.6967004999751225],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
12,0,12,0,24.249246300023515,,24.208352499990724,5,24.249246300023515,24.249246300023515,0.01840020000236109,25.836059599998407,[0.49],[-0.125],[1],[0],[0],[1.6094779000268318],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
